gi|10035216|gb|BE674748.1|,gi|485601478|pdb|3J3F|5,99.55,440,0,2,1,439,4887,4449,0.0,800,9606,Homo sapiens,Eukaryota
gi|10035261|gb|BE674793.1|,gi|151415227|emb|AL353644.34|,99.55,446,1,1,88,532,135130,134685,0.0,811,9606,Homo sapiens,Eukaryota
gi|10035261|gb|BE674793.1|,gi|151415227|emb|AL353644.34|,85.11,235,31,4,207,437,112635,112401,1e-58,237,9606,Homo sapiens,Eukaryota
gi|10035712|gb|BE675171.1|,gi|51593342|gb|BC080515.1|,99.11,672,3,3,1,669,1847,1176,0.0,1205,9606,Homo sapiens,Eukaryota
gi|10035791|gb|BE675250.1|,gi|686771333|ref|XM_002833772.3|,99.83,573,1,0,1,573,1098,526,0.0,1053,9601,Pongo abelii,Eukaryota
gi|10036654|gb|BE676113.1|,gi|151415227|emb|AL353644.34|,99.10,443,3,1,1,442,135130,134688,0.0,795,9606,Homo sapiens,Eukaryota
gi|10036654|gb|BE676113.1|,gi|151415227|emb|AL353644.34|,85.47,234,30,4,120,349,112635,112402,9e-60,241,9606,Homo sapiens,Eukaryota
gi|10036752|gb|BE676211.1|,gi|151415227|emb|AL353644.34|,99.57,465,0,2,1,464,135130,134667,0.0,846,9606,Homo sapiens,Eukaryota
gi|10036752|gb|BE676211.1|,gi|151415227|emb|AL353644.34|,85.17,236,30,5,120,351,112635,112401,1e-58,237,9606,Homo sapiens,Eukaryota
gi|10080693|gb|BE693429.1|,gi|20072117|gb|BC028054.1|,99.59,241,1,0,1,241,1584,1824,4e-120,440,9606,Homo sapiens,Eukaryota
gi|10081278|gb|BE694118.1|,gi|741916906|ref|XR_233608.2|,99.39,164,1,0,1,164,75,238,2e-77,298,9913,Bos taurus,Eukaryota
gi|10081280|gb|BE694120.1|,gi|741916906|ref|XR_233608.2|,100.00,145,0,0,1,145,75,219,1e-68,268,9913,Bos taurus,Eukaryota
gi|10081294|gb|BE694134.1|,gi|371918627|dbj|AK399314.1|,98.90,181,1,1,16,196,427,606,1e-84,322,9823,Sus scrofa,Eukaryota
gi|10081691|gb|BE694531.1|,gi|768026230|ref|XM_011530479.1|,98.34,483,6,2,4,484,1464,1946,0.0,846,9606,Homo sapiens,Eukaryota
gi|10081975|gb|BE694815.1|,gi|288576528|dbj|AK347123.1|,97.73,132,2,1,2,133,281,151,6e-56,226,9823,Sus scrofa,Eukaryota
gi|10081982|gb|BE694822.1|,gi|115527663|gb|BC115436.2|,98.00,450,8,1,28,476,703,254,0.0,780,10090,Mus musculus,Eukaryota
gi|10082022|gb|BE694862.1|,gi|685042672|emb|LN591197.1|,98.48,197,0,3,10,205,1256772,1256578,3e-91,344,7962,Cyprinus carpio,Eukaryota
gi|10082061|gb|BE694901.1|,gi|56369690|emb|CR725645.3|,97.20,214,2,4,1,212,483,694,1e-95,359,99883,Tetraodon nigroviridis,Eukaryota
gi|10082250|gb|BE695090.1|,gi|485601478|pdb|3J3F|5,99.69,324,0,1,30,352,4467,4790,2e-165,592,9606,Homo sapiens,Eukaryota
gi|10082252|gb|BE695092.1|,gi|485601478|pdb|3J3F|5,99.72,352,0,1,19,369,1894,1543,0.0,643,9606,Homo sapiens,Eukaryota
gi|10082252|gb|BE695092.1|,gi|485601478|pdb|3J3F|5,97.70,87,2,0,397,483,4513,4599,2e-32,150,9606,Homo sapiens,Eukaryota
